,Team,Over,Under,Over_Value,Final_Converted
0,Air Force,8.5 +125,8.5 −150,8.5,8.027777777777777
1,Akron,3.5 −120,3.5 −105,3.5,3.659090909090909
2,Alabama,10.5 +135,10.5 −155,10.5,9.718085106382977
3,Appalachian State,6.5 −110,6.5 −115,6.5,6.654761904761904
4,Arizona,5 −120,5 +100,5.0,5.227272727272727
5,Arizona State,5 +120,5 −140,5.0,4.772727272727273
6,Arkansas,7 +100,7 −120,7.0,7.0
7,Arkansas State,4.5 −145,4.5 +120,4.5,4.913265306122449
8,Army,6 +105,6 −130,6.0,5.926829268292683
9,Auburn,6.5 −135,6.5 +115,6.5,6.98404255319149
10,Ball State,4.5 −120,4.5 −105,4.5,4.704545454545454
11,Baylor,7.5 +135,7.5 −160,7.5,6.941489361702128
12,Boise State,9 +140,9 −170,9.0,8.25
13,Boston College,5.5 −120,5.5 +100,5.5,5.75
14,Bowling Green,5 +105,5 −130,5.0,4.939024390243903
15,BYU,5.5 −120,5.5 +100,5.5,5.75
16,California,5 +110,5 −130,5.0,4.8809523809523805
17,Central Michigan,5.5 −110,5.5 −115,5.5,5.6309523809523805
18,Charlotte,2.5 −120,2.5 −105,2.5,2.6136363636363633
19,Cincinnati,5.5 +110,5.5 −130,5.5,5.369047619047619
20,Clemson,9.5 −140,9.5 +120,9.5,10.291666666666668
21,Coastal Carolina,8 −120,8 −105,8.0,8.363636363636363
22,Colorado,3 −105,3 −115,3.0,3.0365853658536586
23,Colorado State,4.5 −115,4.5 −110,4.5,4.656976744186046
24,Duke,6.5 +115,6.5 −135,6.5,6.273255813953488
25,East Carolina,5.5 +125,5.5 −150,5.5,5.194444444444445
26,Eastern Michigan,6.5 −145,6.5 +120,6.5,7.096938775510204
27,FIU,2.5 −145,2.5 +120,2.5,2.729591836734694
28,Florida,5.5 −105,5.5 −115,5.5,5.567073170731708
29,Florida State,10 −105,10 −115,10.0,10.121951219512194
30,Fresno State,8 −105,8 −120,8.0,8.097560975609756
31,Georgia,11.5 +130,11.5 −150,11.5,10.75
32,Georgia Southern,6 −110,6 −115,6.0,6.142857142857142
33,Georgia State,5.5 +105,5.5 −130,5.5,5.432926829268292
34,Georgia Tech,4.5 +120,4.5 −140,4.5,4.295454545454546
35,Hawaii (13 Games),3.5 +115,3.5 −140,3.5,3.377906976744186
36,Houston,4.5 −110,4.5 −110,4.5,4.607142857142857
37,Illinois,6.5 −135,6.5 +115,6.5,6.98404255319149
38,Indiana,3.5 −135,3.5 +115,3.5,3.7606382978723407
39,Iowa,7.5 −145,7.5 +125,7.5,8.188775510204081
40,Iowa State,5.5 −145,5.5 +125,5.5,6.005102040816326
41,Jacksonville State,5.5 −110,5.5 −115,5.5,5.6309523809523805
42,James Madison,7.5 −140,7.5 +115,7.5,8.125000000000002
43,Kansas,6.5 +130,6.5 −150,6.5,6.076086956521738
44,Kansas State,8.5 +110,8.5 −130,8.5,8.297619047619047
45,Kent State,2.5 −120,2.5 −105,2.5,2.6136363636363633
46,Kentucky,6.5 −145,6.5 +125,6.5,7.096938775510204
47,Liberty,9.5 +140,9.5 −165,9.5,8.708333333333334
48,Louisiana Tech,6.5 −135,6.5 +110,6.5,6.98404255319149
49,Louisiana-Lafayette,5.5 −110,5.5 −115,5.5,5.6309523809523805
50,Louisville,8 +125,8 −145,8.0,7.555555555555555
51,LSU,9.5 +110,9.5 −130,9.5,9.273809523809524
52,Marshall,7 −110,7 −115,7.0,7.166666666666666
53,Maryland,7 −105,7 −115,7.0,7.085365853658537
54,Massachusetts,1.5 −180,1.5 +145,1.5,1.7142857142857142
55,Miami FL,7.5 +120,7.5 −140,7.5,7.159090909090909
56,Miami OH,6.5 −110,6.5 −115,6.5,6.654761904761904
57,Michigan,10.5 −105,10.5 −115,10.5,10.628048780487806
58,Michigan State,5.5 +130,5.5 −150,5.5,5.141304347826087
59,Middle Tennessee,6.5 −125,6.5 +100,6.5,6.861111111111112
60,Minnesota,6.5 −125,6.5 +105,6.5,6.861111111111112
61,Mississippi State,6.5 +115,6.5 −135,6.5,6.273255813953488
62,Missouri,6.5 +125,6.5 −145,6.5,6.138888888888888
63,Navy,6.5 −135,6.5 +110,6.5,6.98404255319149
64,Nebraska,6 −120,6 +100,6.0,6.2727272727272725
65,Nevada,3 −160,3 +135,3.0,3.3461538461538463
66,New Mexico,4 +130,4 −155,4.0,3.7391304347826084
67,New Mexico State (13 Games),5 −120,5 −105,5.0,5.227272727272727
68,North Carolina,8.5 −125,8.5 +105,8.5,8.972222222222223
69,North Carolina State,6.5 −145,6.5 +125,6.5,7.096938775510204
70,North Texas,6.5 −115,6.5 −110,6.5,6.726744186046512
71,Northern Illinois,6.5 −110,6.5 −115,6.5,6.654761904761904
72,Northwestern,3.5 −125,3.5 +105,3.5,3.6944444444444446
73,Notre Dame,9 +110,9 −130,9.0,8.785714285714285
74,Ohio,7 −120,7 −105,7.0,7.318181818181818
75,Ohio State,10.5 −105,10.5 −115,10.5,10.628048780487806
76,Oklahoma,9.5 −115,9.5 −105,9.5,9.83139534883721
77,Oklahoma State,9.5 −115,9.5 −105,9.5,9.83139534883721
78,Old Dominion,3.5 −120,3.5 −105,3.5,3.659090909090909
79,Ole Miss,6.5 +100,6.5 −120,6.5,6.5
80,Oregon,9.5 +100,9.5 −120,9.5,9.5
81,Oregon State,8 −135,8 +115,8.0,8.595744680851064
82,Penn State,9.5 −130,9.5 +110,9.5,10.119565217391303
83,Pittsburgh,6.5 −145,6.5 +115,6.5,7.096938775510204
84,Purdue,5.5 +105,5.5 −125,5.5,5.432926829268292
85,Rice,5 −115,5 −110,5.0,5.174418604651163
86,Sam Houston,4 −125,4 +100,4.0,4.222222222222222
87,San Diego State,7 −105,7 −120,7.0,7.085365853658537
88,San Jose State,5.5 −145,5.5 +120,5.5,6.005102040816326
89,SMU,8 −110,8 −115,8.0,8.19047619047619
90,South Alabama,8 −105,8 −120,8.0,8.097560975609756
91,South Carolina,6.5 −105,6.5 −115,6.5,6.579268292682927
92,South Florida,3.5 −120,3.5 −105,3.5,3.659090909090909
93,Southern Miss,5 +100,5 −125,5.0,5.0
94,Stanford,3 +100,3 −120,3.0,3.0
95,Syracuse,6.5 +105,6.5 −125,6.5,6.420731707317073
96,TCU,7.5 −125,7.5 +105,7.5,7.916666666666667
97,Temple,5 −140,5 +115,5.0,5.416666666666668
98,Tennessee,9.5 +130,9.5 −150,9.5,8.880434782608695
99,Texas,9.5 −115,9.5 −105,9.5,9.83139534883721
100,Texas A&M,7.5 −150,7.5 +130,7.5,8.25
101,Texas State,4.5 +110,4.5 −135,4.5,4.392857142857142
102,Texas Tech,7.5 +120,7.5 −140,7.5,7.159090909090909
103,Troy,8 −140,8 +115,8.0,8.666666666666668
104,Tulane,9.5 +120,9.5 −145,9.5,9.068181818181818
105,Tulsa,4 −115,4 −110,4.0,4.1395348837209305
106,UAB,5 −130,5 +105,5.0,5.326086956521738
107,UCF,6.5 −150,6.5 +130,6.5,7.15
108,UCLA,8.5 +110,8.5 −130,8.5,8.297619047619047
109,UConn,5.5 +105,5.5 −130,5.5,5.432926829268292
110,ULM,3.5 +125,3.5 −150,3.5,3.3055555555555554
111,UNLV,6 −105,6 −120,6.0,6.073170731707317
112,USC,9.5 −165,9.5 +140,9.5,10.665094339622643
113,Utah,8.5 +125,8.5 −145,8.5,8.027777777777777
114,Utah State,6 +130,6 −155,6.0,5.608695652173912
115,UTEP,5.5 +100,5.5 −125,5.5,5.5
116,Vanderbilt,3.5 −145,3.5 +125,3.5,3.821428571428571
117,Virginia,3.5 −115,3.5 −105,3.5,3.622093023255814
118,Virginia Tech,5 −115,5 −105,5.0,5.174418604651163
119,Wake Forest,6 −120,6 +100,6.0,6.2727272727272725
120,Washington,9 −105,9 −115,9.0,9.109756097560975
121,Washington State,6.5 −120,6.5 +100,6.5,6.795454545454545
122,West Virginia,4.5 −140,4.5 +120,4.5,4.875000000000001
123,Western Kentucky,8.5 +125,8.5 −150,8.5,8.027777777777777
124,Western Michigan,3.5 +110,3.5 −135,3.5,3.4166666666666665
125,Wisconsin,9 +125,9 −145,9.0,8.5
126,Wyoming,6.5 −125,6.5 +100,6.5,6.861111111111112
